0;0.357953;0;
0.001;0.358026;0.047504;
0.002;0.358483;0.0954005;
0.003;0.35931;0.144107;
0.004;0.360307;0.194006;
0.005;0.361763;0.245682;
0.006;0.363503;0.299604;
0.007;0.365788;0.356409;
0.008;0.368425;0.41683;
0.009;0.371568;0.481688;
0.01;0.375274;0.552242;
0.011;0.379675;0.629644;
0.012;0.384898;0.715852;
0.013;0.391228;0.813112;
0.014;0.398645;0.924817;
0.015;0.407656;1.05503;
0.016;0.418814;1.21046;
0.017;0.432802;1.4005;
0.018;0.450821;1.64031;
0.019;0.47481;1.95482;
0.02;0.50835;2.38927;
0.021;0.558529;3.03427;
0.022;0.642201;4.10209;
0.023;0.809589;6.23488;
0.024;1.31885;12.7096;
0.025;-38.8338;-497.477;
0.026;-0.637272;-12.1451;
0.027;-0.164235;-6.13646;
0.028;-0.00297296;-4.08907;
0.029;0.0789847;-3.04975;
0.03;0.129165;-2.41671;
0.031;0.16359;-1.98727;
0.032;0.188901;-1.67406;
0.033;0.208594;-1.43358;
0.034;0.22466;-1.24117;
0.035;0.238303;-1.08222;
0.036;0.250254;-0.947245;
0.037;0.260912;-0.829974;
0.038;0.270776;-0.725873;
0.039;0.280039;-0.631723;
0.04;0.288935;-0.545217;
0.041;0.297697;-0.464191;
0.042;0.306392;-0.387441;
0.043;0.31511;-0.313406;
0.044;0.324213;-0.241171;
0.045;0.333773;-0.169586;
0.046;0.343668;-0.0977001;
0.047;0.35426;-0.0244469;
0.048;0.365535;0.0511889;
0.049;0.378047;0.129846;
0.05;0.39194;0.213574;
0.051;0.406833;0.303332;
0.052;0.424277;0.401641;
0.053;0.443784;0.510264;
0.054;0.466443;0.632631;
0.055;0.492962;0.773034;
0.056;0.524547;0.93702;
0.057;0.563294;1.133;
0.058;0.61122;1.37387;
0.059;0.67302;1.679;
0.06;0.755394;2.08165;
0.061;0.870911;2.64134;
0.062;1.04484;3.47864;
0.063;1.33712;4.87767;
0.064;1.93124;7.71123;
0.065;3.79655;16.5878;
0.066;-50.8569;-243.202;
0.067;-2.97048;-15.5624;
0.068;-1.44045;-8.28129;
0.069;-0.908834;-5.74403;
0.07;-0.637937;-4.45016;
0.071;-0.474313;-3.66465;
0.072;-0.364565;-3.13526;
0.073;-0.285725;-2.75378;
0.074;-0.226371;-2.46524;
0.075;-0.180201;-2.23892;
0.076;-0.143219;-2.05639;
0.077;-0.112836;-1.90567;
0.078;-0.0874547;-1.77913;
0.079;-0.0660495;-1.67108;
0.08;-0.0476788;-1.57763;
0.081;-0.0315204;-1.49616;
0.082;-0.0176534;-1.42385;
0.083;-0.00513047;-1.35965;
0.084;0.00556707;-1.30208;
0.085;0.0155539;-1.25034;
0.086;0.0242144;-1.20306;
0.087;0.0325081;-1.15993;
0.088;0.0393773;-1.12067;
0.089;0.0464178;-1.08414;
0.09;0.0523803;-1.0505;
0.091;0.0578939;-1.01928;
0.092;0.0631587;-0.990258;
0.093;0.0678467;-0.962989;
0.094;0.0720879;-0.937575;
0.095;0.0769466;-0.913885;
0.096;0.0805299;-0.891288;
0.097;0.0837515;-0.870702;
0.098;0.0874087;-0.849639;
0.099;0.0905364;-0.830968;
0.1;0.0934234;-0.812987;
0.101;0.096433;-0.795826;
0.102;0.0985877;-0.779255;
0.103;0.101372;-0.763691;
0.104;0.103808;-0.74905;
0.105;0.106063;-0.734886;
0.106;0.107835;-0.72108;
0.107;0.110296;-0.707959;
0.108;0.112155;-0.695569;
0.109;0.114089;-0.683488;
0.11;0.115749;-0.671985;
0.111;0.117565;-0.660726;
0.112;0.118877;-0.650125;
0.113;0.120494;-0.639655;
0.114;0.122024;-0.629626;
0.115;0.123416;-0.620101;
0.116;0.124623;-0.610811;
0.117;0.125852;-0.601672;
0.118;0.127103;-0.592775;
0.119;0.128252;-0.584228;
0.12;0.12956;-0.576265;
0.121;0.130495;-0.568111;
0.122;0.131661;-0.560465;
0.123;0.13272;-0.552885;
0.124;0.134022;-0.545686;
0.125;0.134621;-0.538507;
0.126;0.135401;-0.531729;
0.127;0.136957;-0.524486;
0.128;0.137244;-0.517966;
0.129;0.138186;-0.51211;
0.13;0.138725;-0.506796;
0.131;0.139571;-0.499479;
0.132;0.140245;-0.493622;
0.133;0.141086;-0.487756;
0.134;0.141852;-0.482104;
0.135;0.142443;-0.476726;
0.136;0.143143;-0.471248;
0.137;0.143771;-0.466205;
0.138;0.144319;-0.46077;
0.139;0.145068;-0.455619;
0.14;0.145518;-0.45069;
0.141;0.146101;-0.445915;
0.142;0.146643;-0.441201;
0.143;0.147161;-0.436696;
0.144;0.14775;-0.432042;
0.145;0.148333;-0.427261;
0.146;0.148641;-0.422704;
0.147;0.149472;-0.418817;
0.148;0.149656;-0.414871;
0.149;0.150244;-0.410781;
0.15;0.150849;-0.406002;
0.151;0.150708;-0.402556;
0.152;0.151336;-0.398605;
0.153;0.151817;-0.394784;
